traccia,y_Mano,y_predict,delta
trace_167,0,0.5608103,0.5608103275299072
trace_168,1,0.9807216,0.019278407096862793
trace_169,0,0.013716338,0.013716338202357292
trace_170,1,0.9958319,0.004168093204498291
trace_171,1,0.99717003,0.0028299689292907715
trace_172,1,0.9979668,0.0020331740379333496
trace_173,1,0.6381496,0.361850380897522
trace_174,1,0.990756,0.009244024753570557
trace_175,1,0.98487025,0.01512974500656128
trace_176,0,0.0051573496,0.0051573496311903
trace_177,0,0.028247016,0.028247015550732613
trace_178,1,0.9965071,0.003492891788482666
trace_179,0,0.0030080546,0.003008054569363594
trace_180,1,0.26046222,0.73953777551651
trace_181,0,0.027110586,0.027110585942864418
trace_182,1,0.99235004,0.00764995813369751
trace_183,1,0.997124,0.002875983715057373
trace_184,0,0.0025708168,0.002570816781371832
trace_185,0,0.0036058857,0.003605885664001107
trace_186,1,0.89889956,0.10110044479370117
trace_187,0,0.0049860203,0.004986020270735025
trace_188,1,0.9924716,0.007528424263000488
trace_189,0,0.35466796,0.3546679615974426
trace_190,0,0.07890052,0.0789005234837532
trace_191,0,0.04923188,0.0492318794131279
trace_192,1,0.9960658,0.003934204578399658
trace_193,1,0.9001194,0.09988057613372803
trace_194,1,0.95000213,0.04999786615371704
trace_195,1,0.9951911,0.004808902740478516
trace_196,1,0.9975171,0.002482891082763672
trace_197,1,0.9875265,0.012473523616790771
trace_198,0,0.016603157,0.01660315692424774
trace_199,1,0.991708,0.008292019367218018
trace_200,1,0.99129397,0.00870603322982788
trace_201,0,0.0046749436,0.004674943629652262
trace_202,1,0.99584526,0.0041547417640686035
trace_203,0,0.074970424,0.07497042417526245
trace_204,0,0.038730707,0.03873070701956749
trace_205,1,0.920815,0.07918500900268555
trace_206,0,0.00942425,0.009424249641597271
trace_207,1,0.99657345,0.0034265518188476562
trace_208,1,0.997903,0.002097010612487793
trace_209,0,0.004334709,0.004334709141403437
trace_210,0,0.015596616,0.015596616081893444
trace_211,1,0.9794263,0.020573675632476807
trace_212,0,0.4453595,0.4453594982624054
trace_213,0,0.005952858,0.005952857900410891
trace_214,1,0.9953489,0.004651129245758057
trace_215,1,0.9924049,0.00759512186050415
trace_216,0,0.07275066,0.07275065779685974
trace_217,0,0.01628186,0.016281859949231148
trace_218,1,0.9908511,0.009148895740509033
trace_219,1,0.9900131,0.00998687744140625
trace_220,1,0.9956573,0.00434267520904541
trace_221,1,0.99764025,0.002359747886657715
trace_222,1,0.99693966,0.0030603408813476562
trace_223,1,0.14552522,0.8544747829437256
