traccia_val,y_Mano_pol,y_pol_predict,delta_val
2010-10-08T13:28:21.000000Z.SALB.HHZ,1,0.99656504,0.0034349560737609863
2010-10-08T13:28:21.000000Z.SCHR.EHZ,0,0.027986418,0.027986418455839157
2010-10-08T14:03:59.000000Z.BULG.HHZ,1,0.9988476,0.0011523962020874023
2010-10-08T14:03:59.000000Z.CUC.HHZ,1,0.9991272,0.0008727908134460449
2010-10-08T14:03:59.000000Z.MCEL.HHZ,1,0.99762934,0.0023706555366516113
2010-10-08T14:03:59.000000Z.MMN.HHZ,1,0.99114627,0.008853733539581299
2010-10-08T14:03:59.000000Z.SALB.HHZ,1,0.9927148,0.007285177707672119
2010-10-08T14:03:59.000000Z.SCHR.EHZ,0,0.9693257,0.9693257212638855
2010-10-08T14:03:59.000000Z.SIRI.HHZ,1,0.44104153,0.5589584708213806
2010-10-09T05:19:10.000000Z.CUC.HHZ,1,0.9984479,0.0015521049499511719
2010-10-09T05:19:10.000000Z.MCEL.HHZ,0,0.008044845,0.008044845424592495
2010-10-09T05:19:10.000000Z.MMN.HHZ,1,0.9988939,0.0011060833930969238
2010-10-09T05:19:10.000000Z.SALB.HHZ,1,0.9963406,0.0036594271659851074
2010-10-09T05:19:10.000000Z.SCHR.EHZ,0,0.006812498,0.006812497973442078
2010-10-09T06:14:53.000000Z.CUC.HHZ,1,0.9976138,0.0023862123489379883
2010-10-09T06:14:53.000000Z.MMN.HHZ,1,0.9987903,0.0012096762657165527
2010-10-09T06:14:53.000000Z.SALB.HHZ,1,0.99440974,0.005590260028839111
2010-10-09T06:14:53.000000Z.SCHR.EHZ,0,0.040936895,0.040936894714832306
2010-10-09T06:14:53.000000Z.SIRI.HHZ,1,0.92587286,0.07412713766098022
2010-10-12T10:42:41.000000Z.CUC.HHZ,1,0.99195087,0.0080491304397583
2010-10-12T10:42:41.000000Z.MMN.HHZ,1,0.99750155,0.002498447895050049
2010-10-12T10:42:41.000000Z.ORI.HHZ,1,0.7649832,0.2350168228149414
2010-10-12T10:42:41.000000Z.SALB.HHZ,1,0.9861837,0.013816297054290771
2010-10-12T10:42:41.000000Z.SCHR.EHZ,0,0.029346693,0.02934669330716133
2010-10-12T10:42:41.000000Z.SIRI.HHZ,1,0.670773,0.3292269706726074
2010-10-15T00:59:56.000000Z.CUC.HHZ,1,0.9982589,0.0017411112785339355
2010-10-15T00:59:56.000000Z.MMN.HHZ,1,0.99863154,0.0013684630393981934
2010-10-15T00:59:56.000000Z.SALB.HHZ,1,0.994228,0.005771994590759277
2010-10-17T12:00:12.000000Z.CUC.HHZ,1,0.99270105,0.007298946380615234
2010-10-17T12:00:12.000000Z.MMN.HHZ,0,0.0042948443,0.004294844344258308
2010-10-20T05:12:36.000000Z.CUC.HHZ,1,0.99491763,0.005082368850708008
2010-10-20T05:12:36.000000Z.MMN.HHZ,1,0.9983871,0.0016129016876220703
2010-10-24T03:22:53.998000Z.CUC.HHZ,1,0.9958054,0.00419461727142334
2010-10-24T03:22:53.998000Z.MMN.HHZ,1,0.9971318,0.002868175506591797
2010-10-24T03:22:54.000000Z.SALB.HHZ,1,0.98231286,0.01768714189529419
2010-10-24T11:09:49.000000Z.CUC.HHZ,1,0.9983151,0.0016849040985107422
2010-10-24T11:09:49.000000Z.MMN.HHZ,1,0.9989704,0.0010296106338500977
2010-10-24T11:09:49.000000Z.MTSN.HHZ,1,0.00044890592,0.9995510940789245
2010-10-24T11:09:49.000000Z.SALB.HHZ,1,0.9963915,0.003608524799346924
2010-10-24T20:57:06.000000Z.CUC.HHZ,1,0.98452777,0.015472233295440674
2010-10-24T20:57:06.000000Z.MMN.HHZ,0,0.004165295,0.004165295045822859
2010-10-24T20:57:06.000000Z.SALB.HHZ,1,0.9963721,0.0036278963088989258
2010-11-09T08:43:01.000001Z.CUC.HHZ,1,0.9979595,0.0020405054092407227
2010-11-09T08:43:01.000001Z.MCEL.HHZ,1,0.99855965,0.0014403462409973145
2010-11-09T08:43:01.000001Z.MTSN.HHZ,1,0.99854857,0.0014514327049255371
2010-11-09T08:43:01.000001Z.SALB.HHZ,1,0.9992192,0.0007808208465576172
2010-11-09T08:43:01.000001Z.SCHR.EHZ,1,0.9951762,0.004823803901672363
2010-11-09T08:43:01.000001Z.SIRI.HHZ,1,0.9937907,0.006209313869476318
2010-11-09T08:43:01.000001Z.SLCN.HHZ,1,0.99329597,0.0067040324211120605
2010-12-14T13:01:20.000000Z.CUC.HHZ,1,0.99616975,0.003830254077911377
2010-12-14T13:01:20.000000Z.SCHR.EHZ,1,0.989394,0.010605990886688232
2010-12-14T13:01:20.000000Z.SIRI.HHZ,1,0.98491645,0.015083551406860352
