traccia_val,y_Mano_pol,y_pol_predict,delta_val
2010-10-06T17:43:09.000000Z.SALB.HHZ,1,0.992305,0.007695019245147705
2010-10-07T04:07:28.000000Z.CUC.HHZ,1,0.99594337,0.0040566325187683105
2010-10-07T04:07:28.000000Z.MTSN.HHZ,0,0.00408512,0.004085119813680649
2010-10-07T04:07:28.000000Z.SALB.HHZ,1,0.99232954,0.007670462131500244
2010-10-07T04:07:28.000000Z.SCHR.EHZ,0,0.6121608,0.6121608018875122
2010-10-07T04:07:28.000000Z.SIRI.HHZ,0,0.5608043,0.5608043074607849
2010-10-07T05:22:03.999999Z.CUC.HHZ,1,0.98892796,0.011072039604187012
2010-10-07T05:22:03.999999Z.MCEL.HHZ,1,0.37034556,0.6296544373035431
2010-10-07T05:22:03.999999Z.MMN2.HHZ,0,0.0076019648,0.007601964753121138
2010-10-07T05:22:03.999999Z.MTSN.HHZ,1,0.9917542,0.00824582576751709
2010-10-07T05:22:03.999999Z.SALB.HHZ,1,0.99189574,0.008104264736175537
2010-10-07T05:22:03.999999Z.SIRI.HHZ,1,0.99257493,0.007425069808959961
2010-10-07T07:16:49.000000Z.CUC.HHZ,1,0.99464345,0.005356550216674805
2010-10-07T07:16:49.000000Z.SALB.HHZ,1,0.9731459,0.026854097843170166
2010-10-07T21:26:58.999000Z.CUC.HHZ,1,0.99360305,0.006396949291229248
2010-10-07T21:26:58.999000Z.ORI.HHZ,1,0.98726547,0.012734532356262207
2010-10-07T21:26:59.000000Z.SALB.HHZ,1,0.99611026,0.003889739513397217
2010-10-07T21:26:59.000000Z.SCHR.EHZ,0,0.012366545,0.012366545386612415
2010-10-07T21:26:59.000000Z.SLCN.HHZ,1,0.98809415,0.011905848979949951
2010-10-08T02:56:28.000000Z.CUC.HHZ,1,0.9939401,0.006059885025024414
2010-10-08T02:56:28.000000Z.MMN2.HHZ,0,0.0037137358,0.003713735844939947
2010-10-08T02:56:28.000000Z.ORI.HHZ,1,0.99957615,0.00042384862899780273
2010-10-08T02:56:28.000000Z.SALB.HHZ,1,0.9951257,0.004874289035797119
2010-10-08T02:56:28.000000Z.SIRI.HHZ,1,0.9743446,0.025655388832092285
2010-10-08T07:17:10.999000Z.CUC.HHZ,1,0.9954022,0.004597783088684082
2010-10-08T07:17:11.000000Z.SALB.HHZ,1,0.9896723,0.010327696800231934
2010-10-08T07:17:11.000000Z.SIRI.HHZ,1,0.99387956,0.006120443344116211
2010-10-08T07:53:15.000000Z.CUC.HHZ,1,0.9957151,0.004284918308258057
2010-10-08T07:53:15.000000Z.MTSN.HHZ,1,0.9973212,0.002678811550140381
2010-10-08T13:28:21.000000Z.CUC.HHZ,1,0.986992,0.0130079984664917
2010-10-08T13:28:21.000000Z.MMN.HHZ,1,0.99259263,0.00740736722946167
2010-10-08T13:28:21.000000Z.MMN2.HHZ,0,0.0049253074,0.004925307352095842
2010-10-08T13:28:21.000000Z.SALB.HHZ,1,0.99208623,0.007913768291473389
2010-10-08T13:28:21.000000Z.SCHR.EHZ,0,0.014430929,0.014430928975343704
2010-10-08T14:03:59.000000Z.BULG.HHZ,1,0.99818194,0.0018180608749389648
2010-10-08T14:03:59.000000Z.CUC.HHZ,1,0.99643326,0.003566741943359375
2010-10-08T14:03:59.000000Z.MCEL.HHZ,1,0.99581414,0.004185855388641357
2010-10-08T14:03:59.000000Z.MMN.HHZ,1,0.98698425,0.0130157470703125
2010-10-08T14:03:59.000000Z.SALB.HHZ,1,0.9856823,0.014317691326141357
2010-10-08T14:03:59.000000Z.SCHR.EHZ,0,0.44238943,0.44238942861557007
2010-10-08T14:03:59.000000Z.SIRI.HHZ,1,0.64387786,0.35612213611602783
2010-10-09T05:19:10.000000Z.CUC.HHZ,1,0.9969516,0.003048419952392578
2010-10-09T05:19:10.000000Z.MCEL.HHZ,0,0.003305756,0.0033057560212910175
2010-10-09T05:19:10.000000Z.MMN.HHZ,1,0.99831605,0.001683950424194336
2010-10-09T05:19:10.000000Z.SALB.HHZ,1,0.99493176,0.00506824254989624
2010-10-09T05:19:10.000000Z.SCHR.EHZ,0,0.0061903554,0.006190355401486158
2010-10-09T06:14:53.000000Z.CUC.HHZ,1,0.9967699,0.0032300949096679688
2010-10-09T06:14:53.000000Z.MMN.HHZ,1,0.9959133,0.004086673259735107
2010-10-09T06:14:53.000000Z.SALB.HHZ,1,0.99379313,0.006206870079040527
2010-10-09T06:14:53.000000Z.SCHR.EHZ,0,0.02822951,0.02822951041162014
2010-10-09T06:14:53.000000Z.SIRI.HHZ,1,0.97558266,0.024417340755462646
2010-10-12T10:42:41.000000Z.CUC.HHZ,1,0.9932568,0.006743192672729492
2010-10-12T10:42:41.000000Z.MMN.HHZ,1,0.99213845,0.007861554622650146
2010-10-12T10:42:41.000000Z.ORI.HHZ,1,0.16685362,0.8331463783979416
2010-10-12T10:42:41.000000Z.SALB.HHZ,1,0.99019605,0.009803950786590576
2010-10-12T10:42:41.000000Z.SCHR.EHZ,0,0.008675867,0.008675866760313511
2010-10-12T10:42:41.000000Z.SIRI.HHZ,1,0.8382886,0.16171139478683472
2010-10-15T00:59:56.000000Z.CUC.HHZ,1,0.9961266,0.0038734078407287598
2010-10-15T00:59:56.000000Z.MMN.HHZ,1,0.9974125,0.0025874972343444824
2010-10-15T00:59:56.000000Z.SALB.HHZ,1,0.992593,0.007407009601593018
2010-10-17T12:00:12.000000Z.CUC.HHZ,1,0.9958075,0.004192471504211426
