traccia,y_Mano,y_predict,delta
trace_67,1,0.9824226,0.017577409744262695
trace_68,1,0.9987925,0.0012074708938598633
trace_69,1,0.996302,0.003697991371154785
trace_70,1,0.90961146,0.09038853645324707
trace_71,0,0.0015270449,0.0015270449221134186
trace_72,1,0.94415706,0.05584293603897095
trace_73,1,0.120510876,0.8794891238212585
trace_74,1,0.9985221,0.0014778971672058105
trace_75,1,0.98424983,0.01575016975402832
trace_76,0,0.001777233,0.0017772329738363624
trace_77,0,0.002908954,0.002908953931182623
trace_78,1,0.0026727885,0.9973272115457803
trace_79,0,0.05609864,0.05609863996505737
trace_80,1,0.9695369,0.030463099479675293
trace_81,1,0.9992538,0.0007461905479431152
trace_82,0,0.0006893152,0.0006893152021802962
trace_83,1,0.9952793,0.0047206878662109375
trace_84,0,0.009772592,0.009772592224180698
trace_85,1,0.99096394,0.009036064147949219
trace_86,1,0.99836355,0.0016364455223083496
trace_87,1,0.9978326,0.0021674036979675293
trace_88,1,0.9909623,0.009037673473358154
trace_89,1,0.995398,0.004602015018463135
trace_90,1,0.9462986,0.05370140075683594
trace_91,1,0.16178475,0.838215246796608
trace_92,1,0.9828972,0.01710277795791626
trace_93,0,0.9648709,0.9648709297180176
trace_94,1,0.9986578,0.001342177391052246
trace_95,0,0.029369235,0.029369235038757324
trace_96,1,0.9950982,0.00490182638168335
trace_97,1,0.9983406,0.001659393310546875
trace_98,1,0.99779546,0.0022045373916625977
trace_99,1,0.93141824,0.06858175992965698
trace_100,0,0.1236702,0.12367019802331924
trace_101,1,0.99176556,0.00823444128036499
trace_102,0,0.0007666492,0.000766649201977998
trace_103,0,0.036716647,0.03671664744615555
trace_104,1,0.99222565,0.00777435302734375
trace_105,1,0.99420303,0.005796968936920166
trace_106,1,0.9871975,0.012802481651306152
trace_107,0,0.008969325,0.008969324640929699
trace_108,1,0.99918646,0.0008135437965393066
trace_109,1,0.98815465,0.01184535026550293
trace_110,0,0.007877475,0.007877474650740623
trace_111,0,0.2732959,0.27329590916633606
trace_112,1,0.997127,0.0028730034828186035
trace_113,1,0.9913101,0.00868988037109375
trace_114,0,0.09197188,0.09197188168764114
trace_115,0,0.9746865,0.9746865034103394
trace_116,1,0.9974026,0.0025973916053771973
trace_117,1,0.6278318,0.3721681833267212
trace_118,1,0.9935314,0.006468594074249268
trace_119,0,0.32919294,0.3291929364204407
trace_120,1,0.9968079,0.003192126750946045
trace_121,1,0.43942338,0.5605766177177429
trace_122,0,0.0012421362,0.0012421362334862351
trace_123,0,0.23180799,0.23180799186229706
trace_124,0,0.0018806253,0.0018806252628564835
trace_125,0,0.002944145,0.0029441448859870434
trace_126,0,0.0009575895,0.0009575894800946116
trace_127,0,0.00041587045,0.00041587045416235924
trace_128,0,0.0042981775,0.004298177547752857
trace_129,1,0.99840003,0.0015999674797058105
trace_130,0,0.0032084177,0.0032084176782518625
trace_131,1,0.9724033,0.027596712112426758
trace_132,1,0.7947489,0.20525109767913818
trace_133,1,0.98615277,0.0138472318649292
trace_134,1,0.99781275,0.0021872520446777344
trace_135,0,0.0004937142,0.0004937141784466803
trace_136,0,0.006187326,0.006187325809150934
trace_137,1,0.8894381,0.11056190729141235
trace_138,1,0.9974304,0.0025696158409118652
trace_139,0,0.9572236,0.9572235941886902
trace_140,0,0.8729441,0.8729441165924072
trace_141,0,0.36796117,0.36796116828918457
trace_142,1,0.60631585,0.39368414878845215
trace_143,1,0.97693217,0.023067831993103027
trace_144,0,0.0015718851,0.0015718850772827864
trace_145,1,0.9931937,0.006806313991546631
trace_146,0,0.008198666,0.008198666386306286
trace_147,1,0.9820441,0.017955899238586426
trace_148,1,0.08361434,0.9163856580853462
trace_149,1,0.9955259,0.0044741034507751465
trace_150,1,0.9977825,0.0022174715995788574
trace_151,1,0.99847907,0.0015209317207336426
trace_152,1,0.4356176,0.564382404088974
trace_153,1,0.99574333,0.0042566657066345215
trace_154,0,0.0013730067,0.0013730067294090986
trace_155,1,0.956762,0.04323798418045044
trace_156,1,0.9861137,0.01388627290725708
trace_157,0,0.0018799414,0.001879941439256072
trace_158,1,0.65459436,0.345405638217926
trace_159,1,0.9661361,0.03386390209197998
trace_160,1,0.100276195,0.8997238054871559
trace_161,1,0.99876237,0.001237630844116211
trace_162,0,0.0010749626,0.0010749625507742167
trace_163,0,0.01968786,0.01968785934150219
trace_164,0,0.0013737895,0.001373789506033063
trace_165,1,0.9930369,0.006963074207305908
trace_166,1,0.8929695,0.10703051090240479
trace_167,0,0.12444278,0.12444277852773666
trace_168,1,0.98692816,0.013071835041046143
trace_169,0,0.009162858,0.009162858128547668
trace_170,1,0.9992052,0.000794827938079834
trace_171,1,0.9879929,0.01200711727142334
trace_172,1,0.99962044,0.0003795623779296875
trace_173,1,0.77253115,0.2274688482284546
trace_174,1,0.99799323,0.0020067691802978516
trace_175,1,0.9945531,0.005446910858154297
trace_176,0,0.0022753477,0.0022753477096557617
trace_177,0,0.062400676,0.06240067631006241
trace_178,1,0.9962224,0.003777623176574707
trace_179,0,0.0010649636,0.0010649636387825012
trace_180,1,0.00670735,0.9932926502078772
trace_181,0,0.006302373,0.006302373018115759
trace_182,1,0.9890041,0.010995924472808838
trace_183,1,0.99898034,0.0010196566581726074
trace_184,0,0.000681562,0.0006815619999542832
trace_185,0,0.0021502073,0.002150207292288542
trace_186,1,0.86158407,0.13841593265533447
trace_187,0,0.0015575583,0.0015575583092868328
trace_188,1,0.9950624,0.004937589168548584
trace_189,0,0.67217326,0.672173261642456
trace_190,0,0.009937272,0.009937272407114506
trace_191,0,0.049657565,0.049657564610242844
trace_192,1,0.998365,0.0016350150108337402
trace_193,1,0.9518707,0.04812932014465332
trace_194,1,0.97051054,0.029489457607269287
trace_195,1,0.9963804,0.0036196112632751465
trace_196,1,0.998792,0.0012080073356628418
trace_197,1,0.9719222,0.028077781200408936
trace_198,0,0.007519508,0.00751950778067112
trace_199,1,0.9868255,0.013174474239349365
trace_200,1,0.98201776,0.01798224449157715
trace_201,0,0.001052697,0.001052696956321597
trace_202,1,0.9997631,0.00023692846298217773
trace_203,0,0.03495419,0.034954190254211426
trace_204,0,0.078814685,0.07881468534469604
trace_205,1,0.5787896,0.4212104082107544
trace_206,0,0.0013465964,0.0013465964002534747
trace_207,1,0.9987857,0.0012143254280090332
trace_208,1,0.9993024,0.0006976127624511719
trace_209,0,0.0010300723,0.0010300723370164633
trace_210,0,0.002007331,0.0020073310006409883
trace_211,1,0.91772634,0.08227366209030151
trace_212,0,0.4982659,0.4982658922672272
trace_213,0,0.00094938127,0.0009493812685832381
trace_214,1,0.9992943,0.000705718994140625
trace_215,1,0.9696297,0.03037029504776001
trace_216,0,0.70632577,0.7063257694244385
trace_217,0,0.0036220867,0.0036220867186784744
trace_218,1,0.9932828,0.006717205047607422
trace_219,1,0.9666154,0.033384621143341064
trace_220,1,0.9983859,0.0016140937805175781
trace_221,1,0.998713,0.0012869834899902344
trace_222,1,0.9988287,0.0011712908744812012
trace_223,1,0.06494117,0.9350588321685791
trace_224,1,0.9989355,0.0010644793510437012
trace_225,1,0.09215057,0.9078494310379028
trace_226,1,0.9621893,0.037810683250427246
trace_227,0,0.0032776042,0.0032776042353361845
trace_228,1,0.98607326,0.01392674446105957
trace_229,1,0.9934592,0.006540775299072266
trace_230,1,0.9987962,0.001203775405883789
trace_231,0,0.0034283362,0.0034283362329006195
trace_232,1,0.031662405,0.9683375954627991
trace_233,1,0.9956593,0.004340708255767822
trace_234,1,0.9982211,0.0017789006233215332
trace_235,1,0.93460554,0.06539446115493774
trace_236,0,0.98420554,0.9842055439949036
trace_237,1,0.9981786,0.0018213987350463867
trace_238,1,0.96162456,0.03837543725967407
trace_239,1,0.9899178,0.0100821852684021
trace_240,0,0.012112911,0.012112910859286785
trace_241,1,0.9962774,0.0037226080894470215
trace_242,1,0.0359232,0.9640767984092236
trace_243,1,0.96676874,0.033231258392333984
trace_244,1,0.99871445,0.001285552978515625
trace_245,1,0.99177647,0.008223533630371094
trace_246,1,0.9967213,0.003278672695159912
trace_247,1,0.99797577,0.002024233341217041
trace_248,0,0.005499864,0.005499863997101784
trace_249,1,0.9976935,0.002306520938873291
trace_250,0,0.031249762,0.0312497615814209
trace_251,0,0.017581485,0.017581485211849213
trace_252,1,0.99776113,0.0022388696670532227
trace_253,0,0.0011160728,0.0011160727590322495
trace_254,1,0.9967908,0.0032091736793518066
trace_255,1,0.9965269,0.0034731030464172363
trace_256,1,0.98868936,0.0113106369972229
trace_257,1,0.996759,0.0032410025596618652
trace_258,1,0.6679193,0.3320807218551636
trace_259,1,0.9978188,0.0021811723709106445
trace_260,1,0.22913453,0.7708654701709747
trace_261,1,0.98317736,0.016822636127471924
trace_262,1,0.99430156,0.005698442459106445
trace_263,1,0.9497899,0.05021011829376221
trace_264,1,0.98458415,0.015415847301483154
trace_265,1,0.023233375,0.9767666254192591
trace_266,1,0.9981164,0.0018836259841918945
trace_267,1,0.1945618,0.8054382055997849
trace_268,0,0.014503238,0.014503237791359425
trace_269,1,0.996637,0.00336301326751709
trace_270,0,0.0026991873,0.002699187258258462
trace_271,1,0.9956787,0.004321277141571045
trace_272,1,0.9624195,0.03758049011230469
trace_273,0,0.018571379,0.01857137866318226
trace_274,1,0.9910001,0.008999884128570557
trace_275,0,0.0016747421,0.0016747420886531472
trace_276,0,0.12537183,0.12537182867527008
trace_277,1,0.9908432,0.00915682315826416
trace_278,1,0.9865339,0.013466119766235352
trace_279,1,0.99711525,0.0028847455978393555
trace_280,1,0.99918526,0.0008147358894348145
trace_281,0,0.005352377,0.005352376960217953
trace_282,1,0.9974783,0.002521693706512451
trace_283,1,0.9875585,0.012441515922546387
trace_284,0,0.00056046393,0.0005604639300145209
trace_285,1,0.99851614,0.0014838576316833496
trace_286,1,0.9952865,0.004713475704193115
trace_287,1,0.9792346,0.02076542377471924
trace_288,1,0.99267817,0.007321834564208984
trace_289,1,0.99430627,0.0056937336921691895
trace_290,0,0.026521074,0.026521073654294014
trace_291,0,0.13847284,0.13847284018993378
trace_292,1,0.97632265,0.023677349090576172
trace_293,1,0.9888381,0.0111619234085083
trace_294,1,0.9940621,0.0059378743171691895
trace_295,1,0.025962548,0.9740374516695738
trace_296,0,0.0035186668,0.0035186668392270803
trace_297,0,0.0010537987,0.0010537987109273672
trace_298,1,0.89026433,0.10973566770553589
trace_299,1,0.47763756,0.5223624408245087
trace_300,1,0.99671954,0.003280460834503174
trace_301,1,0.99732864,0.002671360969543457
trace_302,0,0.005056552,0.0050565521232783794
trace_303,1,0.9912928,0.008707225322723389
trace_304,0,0.0019999202,0.0019999202340841293
trace_305,0,0.00906237,0.009062370285391808
trace_306,1,0.9982455,0.0017545223236083984
trace_307,1,0.8824247,0.11757528781890869
trace_308,1,0.99828595,0.0017140507698059082
trace_309,1,0.16285469,0.8371453136205673
trace_310,1,0.9286383,0.0713617205619812
trace_311,0,0.089978315,0.08997831493616104
trace_312,1,0.261582,0.7384180128574371
trace_313,1,0.99781585,0.002184152603149414
trace_314,1,0.9559787,0.04402130842208862
trace_315,1,0.41947547,0.5805245339870453
trace_316,0,0.002037599,0.0020375989843159914
trace_317,0,0.0039452324,0.00394523236900568
trace_318,1,0.045026276,0.9549737237393856
trace_319,0,0.006644914,0.006644913926720619
trace_320,0,0.40350688,0.403506875038147
trace_321,0,0.0003050187,0.000305018707877025
trace_322,0,0.0020307135,0.0020307134836912155
trace_323,0,0.044595525,0.04459552466869354
trace_324,0,0.002497381,0.002497381065040827
trace_325,0,0.0008043407,0.0008043406996876001
trace_326,0,0.0027245677,0.002724567661061883
trace_327,0,0.0010847279,0.0010847279336303473
trace_328,1,0.034939364,0.9650606364011765
