traccia,y_a_Mano,y_predict,delta
2011-01-02T00:22:41.000000Z.SALB.HHZ,1,0.99996305,3.695487976074219e-05
2011-01-11T02:44:57.999000Z.CUC.HHZ,1,0.9999994,5.960464477539062e-07
2011-01-11T02:44:57.999000Z.CEL.HHZ,1,0.112589575,0.8874104246497154
2011-01-11T02:44:57.999000Z.MMN.HHZ,0,0.051936068,0.0519360676407814
2011-01-11T02:44:58.000000Z.SALB.HHZ,1,1.0,0.0
2011-01-11T02:44:58.000000Z.SIRI.HHZ,1,0.9999763,2.372264862060547e-05
2011-01-13T10:36:21.000000Z.CUC.HHZ,1,1.0,0.0
2011-01-13T10:36:21.000000Z.CEL.HHZ,0,2.5283947e-07,2.528394702494552e-07
2011-01-13T10:36:21.000000Z.MMN.HHZ,0,2.4599556e-10,2.4599555725757227e-10
2011-01-13T10:36:21.000000Z.SALB.HHZ,1,0.9999994,5.960464477539062e-07
2011-02-10T06:48:46.000000Z.CUC.HHZ,1,0.9999999,1.1920928955078125e-07
2011-02-10T06:48:46.000000Z.MMN.HHZ,0,6.142602e-05,6.142602069303393e-05
2011-02-10T06:48:46.000000Z.SCHR.EHZ,0,0.00018351368,0.00018351367907598615
2011-02-10T06:48:46.000000Z.SIRI.HHZ,1,0.99999595,4.0531158447265625e-06
2011-02-17T07:53:09.000000Z.MMN.HHZ,1,1.0,0.0
2011-02-17T07:53:09.000000Z.SALB.HHZ,1,1.0,0.0
2011-02-17T07:53:09.000000Z.SCHR.EHZ,0,9.8415445e-09,9.84154446825869e-09
2011-02-23T22:26:19.000000Z.CUC.HHZ,0,3.833116e-10,3.833116046791929e-10
2011-02-23T22:26:19.000000Z.SALB.HHZ,1,0.9995571,0.00044292211532592773
2011-03-29T11:33:25.000000Z.CUC.HHZ,1,0.9999988,1.1920928955078125e-06
2011-03-29T11:33:25.000000Z.MMN.HHZ,0,6.0927574e-05,6.0927573940716684e-05
2011-03-29T11:33:25.000000Z.MTSN.HHZ,1,0.9999994,5.960464477539062e-07
2011-03-29T11:33:25.000000Z.SALB.HHZ,1,0.9999956,4.410743713378906e-06
2011-04-02T16:25:29.000000Z.CUC.HHZ,1,0.99999833,1.6689300537109375e-06
2011-04-02T16:25:29.000000Z.MMN.HHZ,0,6.116405e-06,6.116405074862996e-06
2011-04-02T16:25:29.000000Z.MTSN.HHZ,0,0.9974849,0.9974849224090576
2011-04-04T11:38:59.000000Z.CUC.HHZ,1,0.9870221,0.012977898120880127
2011-04-04T11:38:59.000000Z.MMN.HHZ,1,1.0,0.0
2011-04-27T00:57:16.998000Z.CUC.HHZ,1,0.99999976,2.384185791015625e-07
2011-04-27T00:57:17.000000Z.SALB.HHZ,1,1.0,0.0
2011-04-27T00:57:17.000000Z.SIRI.HHZ,1,0.99999666,3.337860107421875e-06
2011-10-14T11:44:11.000000Z.CUC.HHZ,1,1.0,0.0
2011-10-14T11:44:11.000000Z.MMN.HHZ,0,3.4081853e-07,3.4081853073075763e-07
2011-10-14T11:44:11.000000Z.MTSN.HHZ,1,0.9999435,5.650520324707031e-05
2011-10-14T11:44:11.000000Z.SALB.HHZ,1,0.9999794,2.0623207092285156e-05
2011-10-14T11:44:11.000000Z.SLCN.HHZ,1,1.0,0.0
2011-10-15T01:38:52.998000Z.CUC.HHZ,1,1.0,0.0
2011-10-15T01:38:52.998000Z.MMN.HHZ,0,1.4168844e-09,1.4168843875950188e-09
2011-10-15T01:38:53.000000Z.SALB.HHZ,1,0.9999999,1.1920928955078125e-07
2011-10-15T20:32:30.000000Z.CUC.HHZ,1,1.0,0.0
2011-10-15T20:32:30.000000Z.MMN.HHZ,0,4.9154982e-09,4.915498230673165e-09
2011-10-15T20:32:30.000000Z.MTSN.HHZ,1,1.0,0.0
2011-10-15T20:32:30.000000Z.SALB.HHZ,1,0.9997451,0.0002549290657043457
2011-10-19T20:31:26.998000Z.CUC.HHZ,1,1.0,0.0
2011-10-19T20:31:26.998000Z.MMN.HHZ,0,4.144559e-08,4.144558829466405e-08
2011-10-19T20:31:27.000000Z.MTSN.HHZ,1,0.999821,0.00017899274826049805
2011-10-19T20:31:27.000000Z.SALB.HHZ,1,0.9999982,1.7881393432617188e-06
2011-10-19T20:31:27.000000Z.SIRI.HHZ,1,0.99999535,4.649162292480469e-06
2011-11-09T14:32:11.000000Z.CUC.HHZ,1,0.99999964,3.5762786865234375e-07
2011-11-09T14:32:11.000000Z.MMN.HHZ,0,7.877494e-09,7.87749421249373e-09
2011-11-09T14:32:11.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-09T14:32:11.000000Z.SCHR.EHZ,1,0.9999999,1.1920928955078125e-07
2011-11-09T20:29:11.000000Z.CUC.HHZ,1,0.9999887,1.1324882507324219e-05
2011-11-09T20:29:11.000000Z.MMN.HHZ,1,1.0,0.0
2011-11-09T20:29:11.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-09T20:29:11.000000Z.SCHR.EHZ,1,1.0,0.0
2011-11-11T20:41:48.000000Z.CUC.HHZ,1,1.0,0.0
2011-11-11T20:41:48.000000Z.MMN.HHZ,1,0.9999999,1.1920928955078125e-07
2011-11-11T20:41:48.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-13T03:55:30.000000Z.CUC.HHZ,1,1.0,0.0
2011-11-13T03:55:30.000000Z.MCEL.HHZ,0,3.68429e-05,3.68428991350811e-05
2011-11-13T03:55:30.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-13T18:29:34.998000Z.CUC.HHZ,1,0.99999726,2.7418136596679688e-06
2011-11-13T18:29:34.998000Z.MMN.HHZ,0,3.7094265e-05,3.70942652807571e-05
2011-11-13T18:29:35.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-13T18:29:35.000000Z.SCHR.EHZ,1,0.99999976,2.384185791015625e-07
