traccia,y_a_Mano,y_predict,delta
2011-10-19T20:31:26.998000Z.MMN.HHZ,0,0.008429167,0.008429166860878468
2011-10-19T20:31:27.000000Z.MTSN.HHZ,1,0.96826196,0.0317380428314209
2011-10-19T20:31:27.000000Z.SALB.HHZ,1,0.9982875,0.001712501049041748
2011-10-19T20:31:27.000000Z.SIRI.HHZ,1,0.9992749,0.000725090503692627
2011-11-09T14:32:11.000000Z.CUC.HHZ,1,0.9989229,0.001077115535736084
2011-11-09T14:32:11.000000Z.MMN.HHZ,0,0.03510125,0.03510124981403351
2011-11-09T14:32:11.000000Z.SALB.HHZ,1,0.99500644,0.004993557929992676
2011-11-09T14:32:11.000000Z.SCHR.EHZ,1,0.9943638,0.0056362152099609375
2011-11-09T20:29:11.000000Z.CUC.HHZ,1,0.99892277,0.0010772347450256348
2011-11-09T20:29:11.000000Z.MMN.HHZ,1,0.9970746,0.002925395965576172
2011-11-09T20:29:11.000000Z.SALB.HHZ,1,0.99437135,0.005628645420074463
2011-11-09T20:29:11.000000Z.SCHR.EHZ,1,0.9970758,0.002924203872680664
2011-11-11T20:41:48.000000Z.CUC.HHZ,1,0.998922,0.0010780096054077148
2011-11-11T20:41:48.000000Z.MMN.HHZ,1,0.9984596,0.0015404224395751953
2011-11-11T20:41:48.000000Z.SALB.HHZ,1,0.99707305,0.002926945686340332
2011-11-13T03:55:30.000000Z.CUC.HHZ,1,0.9970733,0.0029267072677612305
2011-11-13T03:55:30.000000Z.MCEL.HHZ,0,0.08627967,0.08627966791391373
2011-11-13T03:55:30.000000Z.SALB.HHZ,1,0.9995233,0.0004767179489135742
2011-11-13T18:29:34.998000Z.CUC.HHZ,1,0.9948177,0.005182325839996338
2011-11-13T18:29:34.998000Z.MMN.HHZ,0,0.0011139516,0.0011139515554532409
2011-11-13T18:29:35.000000Z.SALB.HHZ,1,0.9989219,0.0010781288146972656
2011-11-13T18:29:35.000000Z.SCHR.EHZ,1,0.988057,0.01194298267364502
2011-11-14T04:16:41.000000Z.CUC.HHZ,1,0.997074,0.0029259920120239258
2011-11-14T04:16:41.000000Z.MMN.HHZ,1,0.99707353,0.002926468849182129
2011-11-14T04:16:41.000000Z.SALB.HHZ,1,0.994369,0.0056310296058654785
2011-11-14T04:16:41.000000Z.SCHR.EHZ,1,0.8400673,0.1599326729774475
2011-11-14T13:05:48.000000Z.MMN.HHZ,1,0.983011,0.01698899269104004
2011-11-14T13:05:49.000000Z.CUC.HHZ,1,0.9862366,0.013763427734375
2011-11-14T13:05:49.000000Z.SALB.HHZ,1,0.6468854,0.35311460494995117
2011-11-15T17:59:00.000000Z.CUC.HHZ,1,0.99707806,0.0029219388961791992
2011-11-15T17:59:00.000000Z.SALB.HHZ,1,0.9991529,0.0008471012115478516
2011-11-16T19:30:20.998000Z.CUC.HHZ,1,0.9989229,0.001077115535736084
2011-11-16T19:30:20.998000Z.MMN.HHZ,0,0.00037948496,0.0003794849617406726
2011-11-16T19:30:21.000000Z.SALB.HHZ,1,0.99892163,0.0010783672332763672
2011-11-22T20:17:23.000000Z.CUC.HHZ,1,0.99760336,0.0023966431617736816
2011-11-22T20:17:23.000000Z.MMN.HHZ,1,0.99952364,0.0004763603210449219
2011-11-22T20:17:23.000000Z.SALB.HHZ,1,0.9967874,0.003212571144104004
2011-11-23T14:33:47.999000Z.MGR.HHZ,1,0.98662853,0.013371467590332031
2011-11-23T14:33:47.999000Z.MMN.HHZ,0,0.01034176,0.010341759771108627
2011-11-23T14:33:48.000000Z.SALB.HHZ,1,0.99436754,0.005632460117340088
2011-11-23T18:19:15.000000Z.CUC.HHZ,1,0.99723995,0.0027600526809692383
2011-11-23T18:19:15.000000Z.MMN.HHZ,0,0.00037926793,0.0003792679344769567
2011-11-24T02:12:48.000000Z.CUC.HHZ,1,0.9995246,0.0004754066467285156
2011-11-24T02:12:48.000000Z.MMN.HHZ,0,0.00037914503,0.00037914502900093794
2011-11-24T02:12:48.000000Z.MTSN.HHZ,1,0.9881615,0.01183849573135376
2011-11-24T02:12:48.000000Z.SALB.HHZ,1,0.99544674,0.004553258419036865
2011-11-24T02:12:48.000000Z.SCHR.EHZ,1,0.99952376,0.0004762411117553711
2011-11-24T11:33:30.999000Z.MMN.HHZ,1,0.99182093,0.008179068565368652
2011-11-24T11:33:31.000000Z.SALB.HHZ,1,0.9970702,0.0029298067092895508
2011-11-24T11:58:08.998000Z.CUC.HHZ,1,0.9970758,0.002924203872680664
2011-11-24T11:58:08.998000Z.MMN.HHZ,1,0.11727706,0.8827229365706444
2011-11-24T11:58:09.000000Z.SALB.HHZ,1,0.9901155,0.009884476661682129
2011-11-24T11:58:09.000000Z.SCHR.EHZ,1,0.99792874,0.0020712614059448242
2011-11-25T10:26:31.998000Z.CUC.HHZ,1,0.9912657,0.008734285831451416
2011-11-25T10:26:31.998000Z.MMN.HHZ,0,0.08329588,0.08329588174819946
2011-11-25T10:26:32.000000Z.SALB.HHZ,1,0.9943638,0.0056362152099609375
2011-11-26T15:39:07.999000Z.CUC.HHZ,1,0.9989229,0.001077115535736084
2011-11-26T15:39:07.999000Z.MMN.HHZ,1,0.99482155,0.0051784515380859375
2011-11-26T15:39:08.000000Z.SALB.HHZ,1,0.9979214,0.0020785927772521973
2011-11-28T12:24:49.000000Z.CUC.HHZ,1,0.99892277,0.0010772347450256348
2011-11-28T12:24:49.000000Z.MMN.HHZ,0,0.0035291372,0.003529137233272195
2011-11-28T12:24:49.000000Z.MTSN.HHZ,0,0.006627242,0.0066272420808672905
2011-11-28T12:24:49.000000Z.SALB.HHZ,1,0.9970741,0.002925872802734375
2011-11-28T12:24:49.000000Z.SCHR.EHZ,1,0.99707377,0.0029262304306030273
2011-11-28T12:24:49.000000Z.SIRI.HHZ,1,0.9463661,0.053633928298950195
2011-11-30T21:07:05.000000Z.CUC.HHZ,1,0.9989231,0.0010768771171569824
2011-11-30T21:07:05.000000Z.MMN.HHZ,1,0.9995247,0.00047528743743896484
2011-11-30T21:07:05.000000Z.SALB.HHZ,1,0.9995245,0.0004755258560180664
2011-11-30T21:07:05.000000Z.SCHR.EHZ,1,0.99436957,0.005630433559417725
2011-12-01T01:46:04.000000Z.BULG.HHZ,0,0.05802329,0.05802328884601593
2011-12-01T01:46:04.000000Z.CET2.HHZ,1,0.991285,0.00871497392654419
2011-12-01T01:46:03.999000Z.CUC.HHZ,1,0.9989222,0.0010777711868286133
2011-12-01T01:46:03.999000Z.MMN.HHZ,0,0.00061880896,0.0006188089610077441
2011-12-01T01:46:04.000000Z.MTSN.HHZ,0,0.0005495732,0.0005495732184499502
2011-12-01T01:46:04.000000Z.SALB.HHZ,1,0.9987066,0.0012934207916259766
2011-12-01T13:42:29.000001Z.BULG.HHZ,1,0.9214905,0.07850950956344604
2011-12-01T13:42:29.000001Z.CUC.HHZ,1,0.9995247,0.00047528743743896484
2011-12-01T13:42:29.000001Z.MMN.HHZ,0,0.0034673936,0.003467393573373556
2011-12-01T13:42:29.000001Z.MTSN.HHZ,1,0.9979194,0.0020806193351745605
2011-12-01T13:42:29.000001Z.SALB.HHZ,1,0.99892247,0.0010775327682495117
2011-12-01T13:42:29.000001Z.SCHR.EHZ,1,0.9990766,0.0009233951568603516
2011-12-01T13:42:29.000001Z.SIRI.HHZ,1,0.99835855,0.0016414523124694824
2011-12-01T13:42:29.000001Z.SLCN.HHZ,0,0.0020844392,0.002084439154714346
2011-12-01T14:01:02.000000Z.CET2.HHZ,1,0.99707305,0.002926945686340332
2011-12-01T14:01:02.000000Z.CUC.HHZ,1,0.9987081,0.0012918710708618164
2011-12-01T14:01:02.000000Z.ORI.HHZ,1,0.998708,0.0012919902801513672
2011-12-01T14:01:02.000000Z.SALB.HHZ,1,0.9990821,0.0009179115295410156
2011-12-01T14:01:02.000000Z.SCHR.EHZ,1,0.9950023,0.004997670650482178
2011-12-01T14:01:02.000000Z.SIRI.HHZ,1,0.9995246,0.0004754066467285156
2011-12-01T18:02:30.999999Z.CUC.HHZ,1,0.99892324,0.0010767579078674316
2011-12-01T18:02:30.999999Z.MMN.HHZ,0,0.0006191048,0.0006191047723405063
2011-12-01T18:02:30.999999Z.SALB.HHZ,1,0.9970746,0.002925395965576172
2011-12-01T18:02:30.999999Z.SCHR.EHZ,1,0.9995241,0.00047588348388671875
2011-12-01T18:02:30.999999Z.SIRI.HHZ,1,0.999524,0.00047600269317626953
2011-12-02T19:38:29.000000Z.CET2.HHZ,1,0.99952424,0.00047576427459716797
2011-12-02T19:38:29.000000Z.CUC.HHZ,1,0.99892277,0.0010772347450256348
2011-12-02T19:38:29.000000Z.MMN.HHZ,0,0.00037905123,0.0003790512273553759
2011-12-02T19:38:29.000000Z.MTSN.HHZ,1,0.9995239,0.0004761219024658203
2011-12-02T19:38:29.000000Z.ORI.HHZ,1,0.99892104,0.001078963279724121
2011-12-02T19:38:29.000000Z.SALB.HHZ,1,0.9989221,0.001077890396118164
2011-12-02T19:38:29.000000Z.SCHR.EHZ,1,0.9989177,0.001082301139831543
2011-12-02T19:38:29.000000Z.SIRI.HHZ,1,0.99436545,0.0056345462799072266
2011-12-02T21:25:19.999999Z.CET2.HHZ,1,0.99892175,0.0010782480239868164
2011-12-02T21:25:19.999999Z.CUC.HHZ,1,0.99952483,0.00047516822814941406
2011-12-02T21:25:19.999999Z.MGR.HHZ,1,0.999524,0.00047600269317626953
2011-12-02T21:25:19.999999Z.MMN.HHZ,1,0.99815685,0.0018431544303894043
2011-12-02T21:25:19.999999Z.ORI.HHZ,1,0.99952435,0.0004756450653076172
2011-12-02T21:25:19.999999Z.SALB.HHZ,1,0.99952316,0.000476837158203125
2011-12-02T21:25:19.999999Z.SCHR.EHZ,1,0.998708,0.0012919902801513672
2011-12-02T21:25:19.999999Z.SIRI.HHZ,1,0.9995241,0.00047588348388671875
2011-12-03T06:16:08.000000Z.CET2.HHZ,1,0.999524,0.00047600269317626953
2011-12-03T06:16:08.000000Z.CUC.HHZ,1,0.99808866,0.0019113421440124512
2011-12-03T06:16:08.000000Z.MMN.HHZ,1,0.9995246,0.0004754066467285156
2011-12-03T06:16:08.000000Z.SALB.HHZ,1,0.9995245,0.0004755258560180664
2011-12-03T06:16:08.000000Z.SCHR.EHZ,1,0.9639831,0.036016881465911865
2011-12-03T06:16:08.000000Z.SLCN.HHZ,1,0.69660556,0.3033944368362427
2011-12-03T23:53:29.000000Z.CUC.HHZ,1,0.99892277,0.0010772347450256348
2011-12-03T23:53:29.000000Z.MMN.HHZ,0,0.025702242,0.02570224180817604
2011-12-03T23:53:29.000000Z.MTSN.HHZ,0,0.001900352,0.0019003519555553794
2011-12-03T23:53:29.000000Z.SALB.HHZ,1,0.99693465,0.003065347671508789
2011-12-07T03:17:29.000000Z.CUC.HHZ,1,0.99892247,0.0010775327682495117
2011-12-07T03:17:29.000000Z.MMN.HHZ,1,0.99808264,0.0019173622131347656
2011-12-08T04:58:17.999999Z.CET2.HHZ,0,0.058667067,0.05866706743836403
2011-12-08T04:58:17.999999Z.CUC.HHZ,1,0.99892336,0.0010766386985778809
2011-12-08T04:58:17.999999Z.SALB.HHZ,1,0.9943792,0.005620777606964111
2011-12-08T04:58:17.999999Z.SCHR.EHZ,1,0.99436,0.005639970302581787
2011-12-08T04:58:17.999999Z.SIRI.HHZ,1,0.9980856,0.001914381980895996
2011-12-10T14:53:09.000000Z.CET2.HHZ,1,0.99792117,0.002078831195831299
2011-12-10T14:53:09.000000Z.CUC.HHZ,1,0.998923,0.0010769963264465332
2011-12-10T14:53:09.000000Z.MMN.HHZ,0,0.00037972323,0.00037972323480062187
2011-12-10T14:53:09.000000Z.MTSN.HHZ,1,0.99439996,0.005600035190582275
2011-12-10T14:53:09.000000Z.SALB.HHZ,1,0.9989222,0.0010777711868286133
2011-12-12T23:06:49.000000Z.CUC.HHZ,1,0.99892247,0.0010775327682495117
2011-12-12T23:06:49.000000Z.MMN.HHZ,1,0.99870753,0.0012924671173095703
2011-12-12T23:06:49.000000Z.SALB.HHZ,1,0.99707353,0.002926468849182129
2011-12-13T11:08:03.000000Z.CET2.HHZ,1,0.99952424,0.00047576427459716797
2011-12-13T11:08:03.000000Z.CUC.HHZ,1,0.99707127,0.0029287338256835938
2011-12-13T11:08:03.000000Z.MMN.HHZ,0,0.001731074,0.0017310739494860172
2011-12-13T11:08:03.000000Z.MTSN.HHZ,1,0.0069832904,0.9930167095735669
2011-12-13T11:08:03.000000Z.SALB.HHZ,1,0.99951565,0.0004843473434448242
2011-12-13T11:08:03.000000Z.SCHR.EHZ,1,0.9931458,0.0068541765213012695
2011-12-18T11:00:11.000000Z.CUC.HHZ,1,0.99849737,0.0015026330947875977
2011-12-18T11:00:11.000000Z.MGR.HHZ,0,0.036413547,0.03641354665160179
2011-12-18T11:00:11.000000Z.MMN.HHZ,1,0.99761665,0.0023833513259887695
2011-12-18T11:00:11.000000Z.SALB.HHZ,1,0.99870634,0.0012936592102050781
2011-12-18T11:00:11.000000Z.SCHR.EHZ,0,0.00037972702,0.00037972701829858124
2011-12-20T23:41:43.000000Z.CUC.HHZ,1,0.998923,0.0010769963264465332
2011-12-20T23:41:43.000000Z.MMN.HHZ,1,0.99892265,0.0010773539543151855
2011-12-20T23:41:43.000000Z.MTSN.HHZ,1,0.96079546,0.039204537868499756
2011-12-20T23:41:43.000000Z.SALB.HHZ,1,0.9969914,0.003008604049682617
2011-12-22T09:59:45.000000Z.CET2.HHZ,0,0.102194585,0.10219458490610123
2011-12-22T09:59:45.000000Z.CUC.HHZ,1,0.9989215,0.001078486442565918
2011-12-22T09:59:45.000000Z.MMN.HHZ,1,0.94199914,0.05800086259841919
2011-12-23T14:49:13.000000Z.CUC.HHZ,1,0.9995246,0.0004754066467285156
2011-12-23T14:49:13.000000Z.MMN.HHZ,1,0.9927664,0.007233619689941406
2011-12-23T14:49:13.000000Z.MTSN.HHZ,0,0.0016442671,0.0016442671185359359
2011-12-23T14:49:13.000000Z.SCHR.EHZ,1,0.9956772,0.004322826862335205
2011-12-23T21:53:54.000000Z.CMPR.HHZ,0,0.9090718,0.9090718030929565
2011-12-23T21:53:54.000000Z.CUC.HHZ,1,0.9928063,0.0071936845779418945
2011-12-23T21:53:54.000000Z.MMN.HHZ,1,0.9987081,0.0012918710708618164
2011-12-23T21:53:54.000000Z.MTSN.HHZ,0,0.0014086524,0.001408652402460575
2011-12-23T21:53:54.000000Z.SCHR.EHZ,1,0.99870896,0.001291036605834961
2011-12-24T14:53:09.000000Z.CET2.HHZ,0,0.0039694617,0.003969461657106876
2011-12-24T14:53:09.000000Z.CUC.HHZ,1,0.8851077,0.11489230394363403
2011-12-24T14:53:09.000000Z.MTSN.HHZ,1,0.997695,0.002304971218109131
2011-12-24T14:53:09.000000Z.SALB.HHZ,1,0.9943567,0.005643308162689209
2011-12-24T14:53:09.000000Z.SCHR.EHZ,1,0.9970734,0.0029265880584716797
2011-12-24T20:17:32.000001Z.CUC.HHZ,1,0.9995247,0.00047528743743896484
2011-12-24T20:17:32.000001Z.MGR.HHZ,1,0.9979226,0.0020774006843566895
2011-12-24T20:17:32.000001Z.MMN.HHZ,1,0.9969759,0.0030241012573242188
